18626,8,Ahha3Cqe_fk,3,Katy Perry,8,the one that got away,matching,553,"And on my eighteenth birthday, we got __ tattoos",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,10360,17200,6840,0,
18639,58,UxxajLWwzqY,24,Icona Pop,59,i love it,watched,3587,"I crashed my car into the bridge, I __, I let it burn",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,33800,37420,3620,1,
18640,58,UxxajLWwzqY,24,Icona Pop,59,i love it,switch,3595,"You're so damn hard to please, we gotta kill this __",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,59430,63280,3850,1,
18641,58,UxxajLWwzqY,24,Icona Pop,59,i love it,watched,3601,"I crashed my car into the bridge, I __, I let it burn",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,86950,90710,3760,1,
18642,58,UxxajLWwzqY,24,Icona Pop,59,i love it,switch,3611,"You're so damn hard to please, we gotta kill this __",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,120430,124280,3850,1,
18643,68,nIjVuRTm-dc,28,Maroon 5,69,she will be loved,catch,3996,Comes back and makes me __ her every time she,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,166520,171620,5100,0,
18644,72,r_8ydghbGSg,30,Demi Lovato,73,skyscraper,watching,4137,"Skies are crying, I am __",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,21670,26160,4490,0,
18645,72,r_8ydghbGSg,30,Demi Lovato,73,skyscraper,Catching,4138,__ teardrops in my hands,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,26160,30940,4780,0,
18646,72,r_8ydghbGSg,30,Demi Lovato,73,skyscraper,watch,4155,To __ me while I bleed?,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,100530,104770,4240,0,
18647,72,r_8ydghbGSg,30,Demi Lovato,73,skyscraper,Watch,4169,__ you disappear,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,156950,160000,3050,0,
18648,83,fUYaosyR4bE,36,Lily Allen,84,not fair,patch,4720,In the wet __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,73550,75210,1660,0,
18649,86,kYtGl1dX5qI,38,will.i.am,87,scream & shout,watching,4943,They __ us,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,31200,33170,1970,1,
18650,86,kYtGl1dX5qI,38,will.i.am,87,scream & shout,watching,4944,They __ us,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,33170,35020,1850,1,
18651,86,kYtGl1dX5qI,38,will.i.am,87,scream & shout,watching,4945,They __ us,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,35020,36930,1910,1,
18652,89,nmcdLOjGVzw,41,Mika,90,popular song,Catch,5202,"__ up, cause you got an awful long way to go",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,66670,70220,3550,0,
18653,89,nmcdLOjGVzw,41,Mika,90,popular song,Catch,5203,"__ up, cause you got an awful long way to go",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,70220,76340,6120,0,
18654,89,nmcdLOjGVzw,41,Mika,90,popular song,Catch,5230,"__ up, cause you got an awful long way to go",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,144420,148670,4250,0,
18655,89,nmcdLOjGVzw,41,Mika,90,popular song,Catch,5231,"__ up, cause you got an awful long way to go",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,148670,164160,15490,0,
18656,91,J91ti_MpdHA,45,Alicia Keys,92,girl on fire,Watch,5359,__ her when she's lighting up the night,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,134930,137540,2610,0,
18657,100,DUT5rEU6pqM,51,shakira,101,hips don't lie,watch,5792,Why the CIA wanna __ us?вЂ Colombians and Haitians,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,174280,177580,3300,0,
18658,100,DUT5rEU6pqM,51,shakira,101,hips don't lie,snatch,5794,No more do we __ ropes,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,179460,181590,2130,0,
18659,104,t4H_Zoh7G5A,55,Jennifer Lopez,105,on the floor,watch,5961,And __ and she gon' get Donkey Kong,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,190880,192460,1580,1,
18660,108,rtOvBOTyX00,58,christina perri,109,a thousand years,watching,6129,But __ you stand alone,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,38800,44230,5430,0,
18661,109,8v_4O44sfjM,58,christina perri,110,jar of hearts,catch,6177,You're gonna __ a cold,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,52970,55990,3020,0,
18662,109,8v_4O44sfjM,58,christina perri,110,jar of hearts,catch,6194,You're gonna __ a cold,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,120410,122420,2010,0,
18663,109,8v_4O44sfjM,58,christina perri,110,jar of hearts,catch,6210,You're gonna __ a cold,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,181480,183360,1880,0,
18664,109,8v_4O44sfjM,58,christina perri,110,jar of hearts,catch,6219,You're gonna __ a cold,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,206250,210190,3940,0,
18665,112,8EWINVP3B9A,66,cher lloyd,113,i wish,catch,6233,"Cause I know I've been wasting time tryna __ your eye, uh",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,20310,25560,5250,1,
18666,112,8EWINVP3B9A,66,cher lloyd,113,i wish,watch,6268,"I'm talking solitaire iced out, ring, __, necklace",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,130040,132990,2950,1,
18667,117,NOubzHCUt48,69,Ke$ha,119,die young,watching,6684,Don't care whose __ when we tearing it up (you know),Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,59640,63100,3460,0,
18668,119,cPJUBQd-PNM,71,Usher,121,dj got us fallin' in love,catch,6818,Get it baby? Hope you __ that like T-O,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,138680,140800,2120,1,
18669,130,KJWJfRAGnHc,83,Karmin,132,acapella,watch,7504,"You and me are through though, __ me hit it solo",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,21580,25100,3520,0,
18670,130,KJWJfRAGnHc,83,Karmin,132,acapella,watch,7528,"You and me are through though, __ me hit it solo",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,83680,87140,3460,0,
18671,130,KJWJfRAGnHc,83,Karmin,132,acapella,Dutch,7536,Never ever go __ at the buffet,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,104140,107060,2920,0,
18672,130,KJWJfRAGnHc,83,Karmin,132,acapella,watch,7538,He put the saucy on it (Oops!) time to check my __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,109790,112630,2840,0,
18673,130,KJWJfRAGnHc,83,Karmin,132,acapella,watch,7553,"You and me are through though, __ me hit it solo",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,145840,149200,3360,0,
18674,130,KJWJfRAGnHc,83,Karmin,132,acapella,Watch,7559,__ me do it in falsetta,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,160460,162880,2420,0,
18675,130,KJWJfRAGnHc,83,Karmin,132,acapella,watch,7570,"You and me are through though, __ me hit it solo",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,185160,188640,3480,0,
18676,148,VdQY7BusJNU,117,cyndi lauper,150,time after time,catch,8534,If you fall I will __ you--I'll be waiting,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,74650,79330,4680,0,
18677,148,VdQY7BusJNU,117,cyndi lauper,150,time after time,Watching,8539,__ through windows--you're wondering,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,119070,124120,5050,0,
18678,148,VdQY7BusJNU,117,cyndi lauper,150,time after time,catch,8546,If you fall I will __ you--I'll be waiting,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,144580,149120,4540,0,
18679,148,VdQY7BusJNU,117,cyndi lauper,150,time after time,catch,8555,If you fall I will __ you--I'll be waiting,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,184890,189440,4550,0,
18680,152,CcNo07Xp8aQ,132,Robyn,154,dancing on my own,Watching,8728,__ you kiss her,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,59970,62270,2300,0,
18681,152,CcNo07Xp8aQ,132,Robyn,154,dancing on my own,Watching,8745,__ you kiss her,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,118220,119790,1570,0,
18682,152,CcNo07Xp8aQ,132,Robyn,154,dancing on my own,Watching,8762,__ you kiss her,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,184180,185520,1340,0,
18683,152,CcNo07Xp8aQ,132,Robyn,154,dancing on my own,watching,8770,I'm in the corner __ you kiss her,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,205050,210480,5430,0,
18684,157,ewRjZoRtu0Y,174,M.I.A,159,paper planes,catch,9051,If you __ me at the border I got visas in my name,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,13570,16240,2670,1,
18685,157,ewRjZoRtu0Y,174,M.I.A,159,paper planes,catch,9056,If you __ me at the border I got visas in my name,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,24630,27260,2630,1,
18686,167,1G4isv_Fylg,353,coldplay,172,paradise,catch,9628,But it flew away from her reach and the bullets __ in her teeth,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,88730,95750,7020,0,
18687,169,RF0HhrwIwp0,355,kings of leon,174,sex on fire,watching,9705,I know they're __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,33810,37570,3760,0,
18688,169,RF0HhrwIwp0,355,kings of leon,174,sex on fire,Watching,9706,__,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,37570,40330,2760,0,
18689,188,o1tj2zJ2Wvg,364,guns n' roses,193,welcome to the jungle,Watch,10598,"__ it bring you to your knnn knne knees, knees",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,63200,70590,7390,0,
18690,188,o1tj2zJ2Wvg,364,guns n' roses,193,welcome to the jungle,watch,10599,I want to __ you bleed,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,70590,72650,2060,0,
18691,188,o1tj2zJ2Wvg,364,guns n' roses,193,welcome to the jungle,Watch,10615,"__ it bring you to your knnn knne knees, knees",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,133850,140900,7050,0,
18692,188,o1tj2zJ2Wvg,364,guns n' roses,193,welcome to the jungle,watch,10616,I want to __ you bleed,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,140900,151750,10850,0,
18693,188,o1tj2zJ2Wvg,364,guns n' roses,193,welcome to the jungle,Watch,10624,"__ it bring you to your knees, knees",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,235970,240970,5000,0,
18694,188,o1tj2zJ2Wvg,364,guns n' roses,193,welcome to the jungle,Watch,10628,"__ it bring you to your knees, knees",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,251950,256709,4759,0,
18695,188,o1tj2zJ2Wvg,364,guns n' roses,193,welcome to the jungle,Watch,10630,__ it bring you to you,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,259459,260980,1521,0,
18696,199,w8KQmps-Sog,370,Muse,204,uprising,switch,11101,"Flick a __ and open your third eye, you'd see that",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,129560,133270,3710,1,
18697,199,w8KQmps-Sog,370,Muse,204,uprising,watch,11108,We have to unify and __ our flag ascend,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,147490,151290,3800,1,
18698,481,zUwEIt9ez7M,382,Deep Purple,222,smoke on the water,clutch,11639,If you're drowning you don't __ no straw,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,357410,361620,4210,0,
18699,481,zUwEIt9ez7M,382,Deep Purple,222,smoke on the water,clutch,11640,If you're drowning you don't __ no straw,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,361620,365790,4170,0,
18700,225,xPU8OAjjS4k,387,The Doors,231,kryptonite,watched,21091,I __ the world float to the dark,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,30030,32380,2350,0,
18701,225,xPU8OAjjS4k,387,The Doors,231,kryptonite,watched,21095,I __ the world float to the,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,49290,51180,1890,0,
18702,226,0J2QdDbelmY,389,The White Stripes,232,seven nation army,catch,12064,And if I __ it coming back my way,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,101770,104470,2700,1,
18703,256,y8AWFf7EAc4,422,alexandra burke,262,hallelujah,kitchen,12895,She tied you to her __ chair,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,122990,126410,3420,0,
18704,258,OjyZKfdwlng,427,Warrant,264,cherry pie,kitchen,12955,swingin' in the living room swingin' in the __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,52990,56250,3260,1,
18705,264,dlPjxz4LGak,442,Dire Straits,271,money for nothing,kitchen,13263,We gotta install microwave ovens custom __ deliveries,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,92680,100020,7340,0,
18706,264,dlPjxz4LGak,442,Dire Straits,271,money for nothing,kitchen,13266,We gotta install microwave ovens custom __ deliveries,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,125290,132310,7020,0,
18707,264,dlPjxz4LGak,442,Dire Straits,271,money for nothing,kitchen,13279,We gotta install microwave ovens custom __ deliveries,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,171410,178700,7290,0,
18708,272,sxdmw4tJJ1Y,449,Scorpions,280,rock you like a hurricane,scratches,13458,"My cat is purring, it __ my skin",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,41290,45220,3930,1,
18709,272,sxdmw4tJJ1Y,449,Scorpions,280,rock you like a hurricane,scratches,13494,"My cat is purring, it __ my skin",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,191900,195830,3930,1,
18710,287,1Cw1ng75KP0,478,Heart,295,alone,pitch,13895,I'm lying here the room's __ dark,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,15380,22150,6770,0,
18711,289,btPJPFnesV4,480,survivor,297,eye of the tiger,watching,13996,And he's __ us all with the,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,97810,100980,3170,1,
18712,289,btPJPFnesV4,480,survivor,297,eye of the tiger,watching,14011,And he's __ us all with the,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,136920,142450,5530,1,
18713,289,btPJPFnesV4,480,survivor,297,eye of the tiger,watching,14026,And he's __ us all with the,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,182650,186670,4020,1,
18714,311,ab9176Srb5Y,802,Eminem,321,berzerk,scratch,15052,Let's take it back to straight hip-hop and start it from __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,5250,7890,2640,1,
18715,311,ab9176Srb5Y,802,Eminem,321,berzerk,Catch,15086,"__ a cab, I wanna go down b-b-bow, bow",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,91670,94250,2580,1,
18716,487,Z4bVgEVnvyI,803,Drake,322,all me,watch,15138,"**** that, never mind what I got, ***** don't __ that cause I",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,11750,15520,3770,1,
18717,487,Z4bVgEVnvyI,803,Drake,322,all me,watch,15148,"Okay, made a million, off a dinner fork, __ me switch it up",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,46440,50150,3710,1,
18718,487,Z4bVgEVnvyI,803,Drake,322,all me,switch,15148,"Okay, made a million, off a dinner fork, watch me __ it up",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,46440,50150,3710,1,
18719,487,Z4bVgEVnvyI,803,Drake,322,all me,watch,15160,"**** that, never mind what I got, ***** don't __ that cause I",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,90240,94240,4000,1,
18720,487,Z4bVgEVnvyI,803,Drake,322,all me,watch,15190,"**** that, never mind what I got, ***** don't __ that cause I",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,184830,188760,3930,1,
18721,316,2YcIgow6TDk,805,Jay-Z,326,holy grail,watch,15275,"And I'd __ you eat it, I still don't know why",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,10860,18000,7140,1,
18722,316,2YcIgow6TDk,805,Jay-Z,326,holy grail,watch,15363,"Just so you can __ me bleeding, I still don't know why (Don't know why)",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,248690,255520,6830,1,
18723,318,QjlFqgRbICY,806,Kendrick Lamar,328,a.d.h.d,kitchen,15479,Never no pancakes in the __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,39440,41260,1820,1,
18724,488,NtxmnBQmfZs,806,Kendrick Lamar,331,money trees,switch,15653,"A dollar might, just make that lane __ that's just how I feel (now)",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,122800,128200,5400,1,
18725,488,NtxmnBQmfZs,806,Kendrick Lamar,331,money trees,switch,15682,"A dollar might, just make that lane __ that's just how I feel (now)",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,229500,234810,5310,1,
18726,488,NtxmnBQmfZs,806,Kendrick Lamar,331,money trees,watch,15707,"Broken promises, steal yo __ and tell you what time it is",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,305830,309130,3300,1,
18727,322,eCxaXqwRhvw,808,J. Cole,332,crooked smile,stitches,15793,"Man, they get them *****s __ now",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,184240,186320,2080,1,
18728,328,UePtoxDhJSw,813,Wiz Khalifa,338,black and yellow,watch,16279,So many rocks up in the __ I cant tell what the time is,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,108700,111960,3260,1,
18729,330,FWOsbGP5Ox4,816,2Pac,340,california love,watch,16425,Now it's '95 and they clock me and __ me,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,71120,73420,2300,1,
18730,331,k2rqUlYN1m8,817,B.o.B,341,headband,catch,16505,"If she ever throw it, I'd __ it like a cornerback",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,31520,33930,2410,1,
18731,331,k2rqUlYN1m8,817,B.o.B,341,headband,switching,16558,"She speed it up or slow it down, like she's __ gears",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,151920,154340,2420,1,
18732,331,k2rqUlYN1m8,817,B.o.B,341,headband,stretch,16561,"You gotta __ it out, girl move that there",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,159120,161690,2570,1,
18733,332,kn6-c223DUU,817,B.o.B,342,airplanes,switch,16604,If I don't make that then I'll __ my flight and,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,66160,68600,2440,1,
18734,333,_JZom_gVfuw,818,The Notorious B.I.G.,343,juicy,match,16655,With the hat to __,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,39080,40680,1600,1,
18735,334,phaJXp_zMYM,818,The Notorious B.I.G.,344,big poppa,watch,16768,and __ a movie in the jacuzzi smoke L's while you do me,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,132750,135910,3160,1,
18736,335,CB0gNT4-tIE,821,Rick Ross,345,no games,kitchen,16821,"Kilo in the __, ***** *****s merry Christmas",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,51330,54810,3480,1,
18737,335,CB0gNT4-tIE,821,Rick Ross,345,no games,watch,16845,"Hundred grand on my __, you don't feel me then **** 'em",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,123550,126870,3320,1,
18738,335,CB0gNT4-tIE,821,Rick Ross,345,no games,kitchen,16872,"Jumped straight off the porch, jumped right in the __",Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,202380,205710,3330,1,
18739,337,5qm8PH4xAss,824,50 Cent,347,in da club,watch,17018,If you __ how I move you'll mistake me for a player or pimp,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,52250,55470,3220,1,
18740,337,5qm8PH4xAss,824,50 Cent,347,in da club,switch,17052,I'm a tell you what Banks told me cause go 'head __ the style up,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,132620,135840,3220,1,
18741,337,5qm8PH4xAss,824,50 Cent,347,in da club,Watch,17054,__ the money pile up,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,137340,138560,1220,1,
18742,343,RijB8wnJCN0,840,Cypress Hill,353,insane in the brain,watch,17433,To __ dat belly get fatter,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,73690,75420,1730,1,
18743,343,RijB8wnJCN0,840,Cypress Hill,353,insane in the brain,snatch,17467,Come and try ta' __ my crops,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,145820,146170,350,1,
18744,349,1plPyJdXKIY,898,Warren G,360,regulate,switching,17828,Now I'm __ my mind back into freak mode,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,123090,125390,2300,1,
18745,350,otCpCn0l4Wo,970,MC Hammer,361,u can't touch this,catch,17894,And get a fly girl and __ this beat,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,49480,51180,1700,0,
18746,353,AaXaig_43lU,1240,Jeremih,367,down on me,watching,18032,Cause everybody got to __ it,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,28400,30270,1870,1,
18747,353,AaXaig_43lU,1240,Jeremih,367,down on me,watch,18072,Sit and __ it go go go,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,97960,99350,1390,1,
18748,368,GCdwKhTtNNw,1780,The Neighbourhood,383,sweater weather,watch,18861,And then I __ your face,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,80720,82640,1920,0,
18749,375,eimgRedLkkU,1782,Empire of the Sun,390,walking on a dream,Catch,19133,__ me I'm falling down,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,137560,145000,7440,0,
18750,375,eimgRedLkkU,1782,Empire of the Sun,390,walking on a dream,Catch,19134,__ me I'm falling down,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,145000,151240,6240,0,
18751,377,ghb6eDopW8I,1784,Of Monsters and Men,392,little talks,watched,19216,I __ you disappear,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,160920,163250,2330,0,
18752,388,bIEOZCcaXzE,1791,MGMT,403,kids,watch,19516,We like to __ you laughing,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,70810,77130,6320,0,
18753,390,SDTZ7iX4vTQ,1792,Foster the People,405,pumped up kicks,kitchen,19609,Cause dinner's in the __ and it's packed in ice,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,104900,108590,3690,0,
