id;video_id;youtube_id;artist_id;artist_name;sond_id;song_title;key;sentence_id;gapped_sent;node_name;group_name;game_name;start_time;end_time;duration;adults_only;offset
208;96;fWNaR-rxAic;48;Carly Rae Jepsen;97;Call Me Maybe;Hey;5616;__, I just met you and this is crazy;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;88200;92030;3830;0;0
209;96;fWNaR-rxAic;48;Carly Rae Jepsen;97;Call Me Maybe;Hey;5620;__ I just met you and this is crazy;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;104090;108160;4070;0;0
210;96;fWNaR-rxAic;48;Carly Rae Jepsen;97;Call Me Maybe;Hey;5637;__, I just met you and this is crazy;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;152260;156050;3790;0;0
682;495;bg1sT4ILG0w;2410;Nico And Vinz;760;Am I Wrong;they;40223;Just cause everybody doing what __ all do;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;50010;54070;4060;0;0
702;515;gfA-tPKPoNs;2432;Owl City;782;Beautiful Times;graveyard;41669;Like a vampire, up from the __;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;115870;119740;3870;0;0
703;516;EpbjEttizy8;2433;David Guetta;783;Lovers On The Sun;They;41699;__'ve never shined so bright;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;17340;22620;5280;0;0
704;516;EpbjEttizy8;2433;David Guetta;783;Lovers On The Sun;They;41728;__'ve never shined so bright;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;192010;204000;11990;0;0
710;528;nlcIKh6sBtc;2444;Lorde;797;Royals;Grey;42553;But every song's like gold teeth, __ Goose, tripping in the bathroom;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;32380;36350;3970;0;0
711;528;nlcIKh6sBtc;2444;Lorde;797;Royals;Grey;42573;But every song's like gold teeth, __ Goose, tripping in the bathroom;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;105830;109640;3810;0;0
712;529;RBumgq5yVrA;2446;Passenger;798;Let Her Go;they;42611;But dreams come slow and __ go so fast;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;70940;77020;6080;0;0
745;538;_kqQDCxRCzM;2442;One Direction;808;You And I;they;43423;Maybe __ had to take some time;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;29360;33770;4410;0;0
746;538;_kqQDCxRCzM;2442;One Direction;808;You And I;they;43428;Did __ ever hold each other tight;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;44540;49090;4550;0;0
747;538;_kqQDCxRCzM;2442;One Direction;808;You And I;they;43429;Like us? Did __ ever fight like us;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;49090;56790;7700;0;0
748;538;_kqQDCxRCzM;2442;One Direction;808;You And I;they;43452;Cause __ see things in a different light;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;122440;127870;5430;0;0
749;538;_kqQDCxRCzM;2442;One Direction;808;You And I;they;43453;Like us, __ never tried;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;127870;131250;3380;0;0
750;541;VHrLPs3_1Fs;2454;George Ezra;811;Budapest;They;43647;__ don't understand;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;133040;134870;1830;0;0
751;541;VHrLPs3_1Fs;2454;George Ezra;811;Budapest;They;43648;__ fear they'd lose so much;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;134870;136750;1880;0;0
752;541;VHrLPs3_1Fs;2454;George Ezra;811;Budapest;they;43648;They fear __'d lose so much;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;134870;136750;1880;0;0
753;546;iX-QaNzd-0Y;2457;Milky Chance;816;Stolen Dance;They;43823;__'ve always been so kind;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;33140;37280;4140;0;0
754;546;iX-QaNzd-0Y;2457;Milky Chance;816;Stolen Dance;they;43824;But now __'ve brought you away from here;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;37280;41620;4340;0;0
755;546;iX-QaNzd-0Y;2457;Milky Chance;816;Stolen Dance;they;43825;I hope __ didn't get your mind;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;41620;45740;4120;0;0
756;546;iX-QaNzd-0Y;2457;Milky Chance;816;Stolen Dance;They;43828;__ have stolen from us;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;54170;62320;8150;0;0
757;548;40nFOYGVJtY;2459;Clean Bandit;818;Extraordinary;they;43952;People making choices __ can't fake;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;59840;67430;7590;0;0
758;551;yVdnvQsKyUs;2462;Hunter Hayes;821;Everybody'S Got Somebody But Me;They;44204;__ do, everybody;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;73490;80360;6870;0;0
770;563;xGPeNN9S0Fg;2442;One Direction;831;Little Things;they;44750;But if I do, it's you, it's you, __ add up to;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;59900;68480;8580;0;0
771;563;xGPeNN9S0Fg;2442;One Direction;831;Little Things;they;44761;But if it's true, it's you, it's you, __ add up to;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;121070;130100;9030;0;0
772;563;xGPeNN9S0Fg;2442;One Direction;831;Little Things;they;44768;Cause it's you, it's you, it's you __ add up to;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;177610;186390;8780;0;0
773;563;xGPeNN9S0Fg;2442;One Direction;831;Little Things;they;44771;But if it's true, it's you, it's you __ add up to;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;199500;208140;8640;0;0
775;567;LjhCEhWiKXk;2421;Bruno Mars;851;Just The Way You Are;they;45807;Her eyes, her eyes make the stars look like __'re not shining;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;32780;37180;4400;0;0
776;568;SR6iYWJxHqs;2421;Bruno Mars;852;Grenade;they;45854;Why were __ open?;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;19660;21650;1990;0;0
777;568;SR6iYWJxHqs;2421;Bruno Mars;852;Grenade;hey;45870;Tell the devil I said '__' when you get back to where you're from;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;81960;86520;4560;0;0
778;571;VuNIsY6JdUw;2448;Taylor Swift;872;You Belong With Me;Hey;47107;__ isn't this easy?;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;82240;84970;2730;0;0
779;571;VuNIsY6JdUw;2448;Taylor Swift;872;You Belong With Me;Hey;47112;__ what you doing with a girl like that?;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;96400;100040;3640;0;0
780;572;8xg3vE8Ie_E;2448;Taylor Swift;874;Love Story;they;47228;We keep quiet because we're dead if __ knew;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;89120;92160;3040;0;0
781;572;8xg3vE8Ie_E;2448;Taylor Swift;874;Love Story;they;47237;Romeo save me, __'re trying to tell me how to feel;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;133220;137480;4260;0;0
782;573;0G3_kG5FFfQ;2439;Avril Lavigne;876;When You'Re Gone;they;47350;And the clothes you left, __ lie on the floor;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;111950;117150;5200;0;0
783;573;0G3_kG5FFfQ;2439;Avril Lavigne;876;When You'Re Gone;they;47351;And __ smell just like you;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;117150;120380;3230;0;0
787;586;PivWY9wn5ps;2486;Michael Jackson;934;Man In The Mirror;They;50656;__ follow each other on the wind you know;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;56600;60810;4210;0;0
788;586;PivWY9wn5ps;2486;Michael Jackson;934;Man In The Mirror;they;50657;Cause __ got nowhere to go;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;60810;64370;3560;0;0
789;586;PivWY9wn5ps;2486;Michael Jackson;934;Man In The Mirror;they;50667;Could it be really mean, pretending that __'re not alone?;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;108680;114720;6040;0;0
790;586;PivWY9wn5ps;2486;Michael Jackson;934;Man In The Mirror;They;50670;__ follow the pattern of the wind you see;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;123650;128080;4430;0;0
791;586;PivWY9wn5ps;2486;Michael Jackson;934;Man In The Mirror;they;50671;Cause __ got no place to be;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;128080;131400;3320;0;0
798;601;mqFLXayD6e8;2512;Shania Twain;1004;That Don'T Impress Me Much;they;54941;I've known a few guys who thought __ were pretty smart;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;17000;20890;3890;0;0
817;620;nfWlot6h_JM;2973;Christina Aguilera;1901;Shake It Off;they;99914;And that's what __ don't see, that's what they don't see;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;70640;76540;5900;0;0
818;620;nfWlot6h_JM;2973;Christina Aguilera;1901;Shake It Off;they;99914;And that's what they don't see, that's what __ don't see;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;70640;76540;5900;0;0
819;620;nfWlot6h_JM;2973;Christina Aguilera;1901;Shake It Off;they;99916;And that's what __ don't know, that's what they don't know;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;82680;88510;5830;0;0
820;620;nfWlot6h_JM;2973;Christina Aguilera;1901;Shake It Off;they;99916;And that's what they don't know, that's what __ don't know;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;82680;88510;5830;0;0
821;641;DCCJCILiX3o;2973;Christina Aguilera;1938;Amnesia;They;108824;__'re still living in my phone;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;103440;118040;14600;0;0
822;616;AbPED9bisSc;2442;One Direction;1942;Live While We'Re Young;Hey;102193;__ girl I'm waiting on you, I'm waiting on you;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;7270;11290;4020;0;0
823;616;AbPED9bisSc;2442;One Direction;1942;Live While We'Re Young;Hey;102210;__ girl it's now or never, it's now or never;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;71770;75950;4180;0;0
825;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;hey;106901;So __, let's be friends;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;38060;40090;2030;0;0
826;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;They;106911;__'ll tell you I'm insane;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;60280;62580;2300;0;0
827;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;They;106920;__'ll tell you I'm insane;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;80220;82610;2390;0;0
828;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;They;106945;__'ll tell you I'm insane;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;145310;147490;2180;0;0
829;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;They;106954;__'ll tell you I'm insane;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;165290;167560;2270;0;0
830;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;They;106968;__'ll tell you I'm insane;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;205310;207660;2350;0;0
831;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;They;106977;__'ll tell you I'm insane;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;225350;227730;2380;0;0
836;618;Zlot0i3Zykw;2448;Taylor Swift;2056;Red;they;107468;Like the colors in autumn, so bright just before __ lose it all;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;38620;45740;7120;0;0
837;618;Zlot0i3Zykw;2448;Taylor Swift;2056;Red;grey;107471;Missing him was dark __ all alone;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;49460;53230;3770;0;0
839;624;zAwpV2f4Wok;2555;Jonas Brothers;2059;Play My Music;they;107624;One good song, __ disappear;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;48910;51680;2770;0;0
840;624;zAwpV2f4Wok;2555;Jonas Brothers;2059;Play My Music;Hey;107661;'__ guys, I got a surprise for you';Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;7830;12280;4450;0;0
852;626;0bGjlvukgHU;2960;The Lion King;2061;I Just Can'T Wait To Be King;graveyard;107895;'An elephant __';Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;7270;11400;4130;0;0
853;627;8EYVepDBAC0;2963;Hercules;2062;Go The Distance;they;107923;When __ see my face;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;17710;20170;2460;0;0
854;630;RU8aKj8t7gM;3080;Phil Collins;2065;On My Way;They;108213;'__ are quite nice';Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;170120;173280;3160;0;0
855;631;25QyCxVkXwQ;2624;Elton John;2066;Can You Feel The Love Tonight;they;108123;And __ don't have a clue (who?);Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;2450;5170;2720;0;0
856;631;25QyCxVkXwQ;2624;Elton John;2066;Can You Feel The Love Tonight;They;108124;__'ll fall in love and here's the bottom line;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;5170;8600;3430;0;0
857;631;25QyCxVkXwQ;2624;Elton John;2066;Can You Feel The Love Tonight;they;108152;Love is where __ are;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;129310;135100;5790;0;0
858;634;vLkp_Dx6VdI;3082;Mary Poppins;2068;A Spoonful Of Sugar;they;108309;Because __ take a little nip;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;162080;164190;2110;0;0
859;634;vLkp_Dx6VdI;3082;Mary Poppins;2068;A Spoonful Of Sugar;they;108310;From every flower that __ sip;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;164190;166710;2520;0;0
860;634;vLkp_Dx6VdI;3082;Mary Poppins;2068;A Spoonful Of Sugar;They;108312;__ find (They find);Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;169180;171890;2710;0;0
861;634;vLkp_Dx6VdI;3082;Mary Poppins;2068;A Spoonful Of Sugar;They;108312;They find (__ find);Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;169180;171890;2710;0;0
864;644;lp-EO5I60KA;2419;Ed Sheeran;2074;Thinking Out Loud;they;108573;When your legs don't work like __ used to before;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;8630;14640;6010;0;0
865;646;7PCkvCPvDXk;2928;Meghan Trainor;2076;All About That Bass;Hey;108705;Go ahead and tell them skinny bitches: '__!';Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;90010;93370;3360;0;0
866;647;IcrbM1l_BoI;2445;Avicii;2077;Wake Me Up;They;108733;__ tell me I'm too young to understand;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;23120;27430;4310;0;0
867;647;IcrbM1l_BoI;2445;Avicii;2077;Wake Me Up;They;108734;__ say I'm caught up in a dream;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;27430;31210;3780;0;0
868;647;IcrbM1l_BoI;2445;Avicii;2077;Wake Me Up;they;108745;'The others, __ don't like us';Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;71620;74850;3230;0;0
869;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108772;And __ all got the same heartbeat;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;24990;33160;8170;0;0
870;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;They;108774;__'re invincible, and she's just in the background;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;40560;46570;6010;0;0
871;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108777;'Cause all the cool kids, __ seem to fit in;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;51880;55650;3770;0;0
872;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;They;108780;__'re living the good life;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;84450;92570;8120;0;0
873;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;They;108781;__'re driving fast cars;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;92570;100130;7560;0;0
874;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108785;'Cause all the cool kids, __ seem to fit in;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;111160;114610;3450;0;0
875;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108788;'Cause all the cool kids, __ seem to get it;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;125810;129590;3780;0;0
876;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108790;And __ said;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;164980;166480;1500;0;0
877;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108792;'Cause all the cool kids, __ seem to fit in;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;169960;173640;3680;0;0
878;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108795;'Cause all the cool kids, __ seem to fit in;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;184970;188590;3620;0;0
879;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108798;'Cause all the cool kids, __ seem to get it;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;199640;203400;3760;0;0
880;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108833;But __ haven't got a clue;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;79570;87010;7440;0;0
881;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108835;But __ don't know where they're going;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;94560;102070;7510;0;0
882;648;UXTlczyWJ-Y;3086;Echosmith;2078;Cool Kids;they;108835;But they don't know where __'re going;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;94560;102070;7510;0;0
883;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;They;108806;__ will come, they will go, make us special;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;68910;81810;12900;0;0
884;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;they;108806;They will come, __ will go, make us special;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;68910;81810;12900;0;0
885;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;They;108814;__ will come, they will go, make us special;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;142390;154840;12450;0;0
886;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;they;108814;They will come, __ will go, make us special;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;142390;154840;12450;0;0
887;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;They;108818;__ will come, they will go, make us special;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;179890;195190;15300;0;0
888;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;they;108818;They will come, __ will go, make us special;Feature_Has_Phoneme_Ey_Spelled_Ey;sound_ey;sounds_ey_ay;179890;195190;15300;0;0
931;48;g1j1qwQQ8-Q;19;James Blunt;49;Bonfire Heart;die;2997;Your love is like a soldier, loyal till you __;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;12460;19990;7530;0;0
936;53;hLQl3WQQoQ0;21;Adele;54;Someone Like You;flies;3281;You know how the time __;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;110490;116720;6230;0;0
946;72;r_8ydghbGSg;30;Demi Lovato;73;Skyscraper;Skies;4137;__ are crying, I am watching;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;21670;26160;4490;0;0
1027;165;RB-RcX5DS5A;353;Coldplay;170;The Scientist;science;9543;Heads on a __ apart;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;47080;53600;6520;0;0
1028;165;RB-RcX5DS5A;353;Coldplay;170;The Scientist;science;9553;Questions of __, science and progress;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;112460;119220;6760;0;0
1029;165;RB-RcX5DS5A;353;Coldplay;170;The Scientist;science;9553;Questions of science, __ and progress;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;112460;119220;6760;0;0
1031;171;G6ZiXEXg1KY;355;Kings Of Leon;176;Wait For Me;tried;9786;I __ all the way;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;47860;53300;5440;0;0
1032;171;G6ZiXEXg1KY;355;Kings Of Leon;176;Wait For Me;tried;9795;I __ all the way;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;94970;100980;6010;0;0
1165;399;8UVNT4wvIGY;1798;Gotye;414;Somebody That I Used To Know;die;19809;Like when you said you felt so happy you could __;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;25630;33090;7460;0;0
1227;516;EpbjEttizy8;2433;David Guetta;783;Lovers On The Sun;satisfied;41704;The hunger __;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;32640;37650;5010;0;0
1230;529;RBumgq5yVrA;2446;Passenger;798;Let Her Go;dies;42614;Everything you touch, all it __;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;83440;89100;5660;0;0
1236;538;_kqQDCxRCzM;2442;One Direction;808;You And I;tried;43453;Like us, they never __;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;127870;131250;3380;0;0
1237;540;Y1xs_xPb46M;2442;One Direction;810;One Thing;tried;43547;I've __ playing it cool;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;3200;7170;3970;0;0
1238;548;40nFOYGVJtY;2459;Clean Bandit;818;Extraordinary;tried;43944;I've __ to show you, my door is open;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;33440;37090;3650;0;0
1239;550;CsFb661EXsI;2461;James Blunt;820;Heart To Heart;lie;44144;I __ awake at night and worry for a while;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;28440;35890;7450;0;0
1240;550;CsFb661EXsI;2461;James Blunt;820;Heart To Heart;die;44152;You and I won't part till we __;Feature_Has_Phoneme_Ay_Spelled_Ie;sound_ay;sounds_ey_ay;59800;64840;5040;0;0
