Ahha3Cqe_fk,Katy Perry,The One That Got Away,matching,"And on my eighteenth birthday, we got __ tattoos",10360,17200,6840,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,switch,"You're so damn hard to please, we gotta kill this __",59430,63280,3850,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,watched,"I crashed my car into the bridge, I __, I let it burn",86950,90710,3760,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UxxajLWwzqY,Icona Pop,I Love It,switch,"You're so damn hard to please, we gotta kill this __",120430,124280,3850,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nIjVuRTm-dc,Maroon 5,She Will Be Loved,catch,Comes back and makes me __ her every time she,166520,171620,5100,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
r_8ydghbGSg,Demi Lovato,Skyscraper,watching,"Skies are crying, I am __",21670,26160,4490,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
r_8ydghbGSg,Demi Lovato,Skyscraper,Catching,__ teardrops in my hands,26160,30940,4780,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
r_8ydghbGSg,Demi Lovato,Skyscraper,watch,To __ me while I bleed?,100530,104770,4240,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
r_8ydghbGSg,Demi Lovato,Skyscraper,Watch,__ you disappear,156950,160000,3050,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fUYaosyR4bE,Lily Allen,Not Fair,patch,In the wet __,73550,75210,1660,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
kYtGl1dX5qI,Will.I.Am,Scream And Shout,watching,They __ us,31200,33170,1970,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
kYtGl1dX5qI,Will.I.Am,Scream And Shout,watching,They __ us,33170,35020,1850,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
kYtGl1dX5qI,Will.I.Am,Scream And Shout,watching,They __ us,35020,36930,1910,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nmcdLOjGVzw,Mika,Popular Song,Catch,"__ up, cause you got an awful long way to go",66670,70220,3550,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nmcdLOjGVzw,Mika,Popular Song,Catch,"__ up, cause you got an awful long way to go",70220,76340,6120,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nmcdLOjGVzw,Mika,Popular Song,Catch,"__ up, cause you got an awful long way to go",144420,148670,4250,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
nmcdLOjGVzw,Mika,Popular Song,Catch,"__ up, cause you got an awful long way to go",148670,164160,15490,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
J91ti_MpdHA,Alicia Keys,Girl On Fire,Watch,__ her when she's lighting up the night,134930,137540,2610,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
DUT5rEU6pqM,Shakira,Hips Don'T Lie,watch,Why the CIA wanna __ us? Colombians and Haitians,174280,177580,3300,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
DUT5rEU6pqM,Shakira,Hips Don'T Lie,snatch,No more do we __ ropes,179460,181590,2130,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
t4H_Zoh7G5A,Jennifer Lopez,On The Floor,watch,And __ and she gon' get Donkey Kong,190880,192460,1580,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
rtOvBOTyX00,Christina Perri,A Thousand Years,watching,But __ you stand alone,38800,44230,5430,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,catch,You're gonna __ a cold,52970,55990,3020,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,catch,You're gonna __ a cold,120410,122420,2010,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,catch,You're gonna __ a cold,181480,183360,1880,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,catch,You're gonna __ a cold,206250,210190,3940,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8EWINVP3B9A,Cher Lloyd,I Wish,catch,"'Cause I know I've been wasting time tryna __ your eye, uh",20310,25560,5250,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8EWINVP3B9A,Cher Lloyd,I Wish,watch,"I'm talking solitaire iced out, ring, __, necklace",130040,132990,2950,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NOubzHCUt48,KeSHa,Die Young,watching,Don't care whose __ when we tearing it up (you know),59640,63100,3460,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
cPJUBQd-PNM,Usher,Dj Got Us Fallin' In Love,catch,Get it baby? Hope you __ that like T-O,138680,140800,2120,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,watch,"You and me are through though, __ me hit it solo",21580,25100,3520,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,watch,"You and me are through though, __ me hit it solo",83680,87140,3460,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,Dutch,"""Never ever go __ at the buffet""""""",104140,107060,2920,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,watch,He put the saucy on it (Oops!) time to check my __,109790,112630,2840,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,watch,"You and me are through though, __ me hit it solo",145840,149200,3360,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,Watch,__ me do it in falsetta,160460,162880,2420,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
KJWJfRAGnHc,Karmin,Acapella,watch,"You and me are through though, __ me hit it solo",185160,188640,3480,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VdQY7BusJNU,Cyndi Lauper,Time After Time,catch,If you fall I will __ you--I'll be waiting,74650,79330,4680,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VdQY7BusJNU,Cyndi Lauper,Time After Time,Watching,__ through windows--you're wondering,119070,124120,5050,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VdQY7BusJNU,Cyndi Lauper,Time After Time,catch,If you fall I will __ you--I'll be waiting,144580,149120,4540,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VdQY7BusJNU,Cyndi Lauper,Time After Time,catch,If you fall I will __ you--I'll be waiting,184890,189440,4550,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CcNo07Xp8aQ,Robyn,Dancing On My Own,Watching,__ you kiss her,59970,62270,2300,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CcNo07Xp8aQ,Robyn,Dancing On My Own,Watching,__ you kiss her,118220,119790,1570,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CcNo07Xp8aQ,Robyn,Dancing On My Own,Watching,__ you kiss her,184180,185520,1340,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CcNo07Xp8aQ,Robyn,Dancing On My Own,watching,I'm in the corner __ you kiss her,205050,210480,5430,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ewRjZoRtu0Y,M.I.A,Paper Planes,catch,If you __ me at the border I got visas in my name,13570,16240,2670,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ewRjZoRtu0Y,M.I.A,Paper Planes,catch,If you __ me at the border I got visas in my name,24630,27260,2630,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
1G4isv_Fylg,Coldplay,Paradise,catch,But it flew away from her reach and the bullets __ in her teeth,88730,95750,7020,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RF0HhrwIwp0,Kings Of Leon,Sex On Fire,watching,I know they're __,33810,37570,3760,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RF0HhrwIwp0,Kings Of Leon,Sex On Fire,Watching,__,37570,40330,2760,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o1tj2zJ2Wvg,Guns N' Roses,Welcome To The Jungle,Watch,"__ it bring you to your knnn knne knees, knees",63200,70590,7390,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o1tj2zJ2Wvg,Guns N' Roses,Welcome To The Jungle,watch,I want to __ you bleed,70590,72650,2060,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o1tj2zJ2Wvg,Guns N' Roses,Welcome To The Jungle,Watch,"__ it bring you to your knnn knne knees, knees",133850,140900,7050,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o1tj2zJ2Wvg,Guns N' Roses,Welcome To The Jungle,watch,I want to __ you bleed,140900,151750,10850,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o1tj2zJ2Wvg,Guns N' Roses,Welcome To The Jungle,Watch,"__ it bring you to your knees, knees",235970,240970,5000,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o1tj2zJ2Wvg,Guns N' Roses,Welcome To The Jungle,Watch,"__ it bring you to your knees, knees",251950,256709,4759,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o1tj2zJ2Wvg,Guns N' Roses,Welcome To The Jungle,Watch,__ it bring you to you,259459,260980,1521,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
w8KQmps-Sog,Muse,Uprising,switch,"Flick a __ and open your third eye, you'd see that",129560,133270,3710,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
w8KQmps-Sog,Muse,Uprising,watch,We have to unify and __ our flag ascend,147490,151290,3800,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
zUwEIt9ez7M,Deep Purple,Smoke On The Water,clutch,If you're drowning you don't __ no straw,357410,361620,4210,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
zUwEIt9ez7M,Deep Purple,Smoke On The Water,clutch,If you're drowning you don't __ no straw,361620,365790,4170,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
xPU8OAjjS4k,The Doors,Kryptonite,watched,I __ the world float to the dark,30030,32380,2350,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
xPU8OAjjS4k,The Doors,Kryptonite,watched,I __ the world float to the,49290,51180,1890,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
0J2QdDbelmY,The White Stripes,Seven Nation Army,catch,And if I __ it coming back my way,101770,104470,2700,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
y8AWFf7EAc4,Alexandra Burke,Hallelujah,kitchen,She tied you to her __ chair,122990,126410,3420,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OjyZKfdwlng,Warrant,Cherry Pie,kitchen,swingin' in the living room swingin' in the __,52990,56250,3260,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dlPjxz4LGak,Dire Straits,Money For Nothing,kitchen,We gotta install microwave ovens custom __ deliveries,92680,100020,7340,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dlPjxz4LGak,Dire Straits,Money For Nothing,kitchen,We gotta install microwave ovens custom __ deliveries,125290,132310,7020,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dlPjxz4LGak,Dire Straits,Money For Nothing,kitchen,We gotta install microwave ovens custom __ deliveries,171410,178700,7290,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sxdmw4tJJ1Y,Scorpions,Rock You Like A Hurricane,scratches,"My cat is purring, it __ my skin",41290,45220,3930,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
sxdmw4tJJ1Y,Scorpions,Rock You Like A Hurricane,scratches,"My cat is purring, it __ my skin",191900,195830,3930,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
1Cw1ng75KP0,Heart,Alone,pitch,I'm lying here the room's __ dark,15380,22150,6770,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
btPJPFnesV4,Survivor,Eye Of The Tiger,watching,And he's __ us all with the,97810,100980,3170,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
btPJPFnesV4,Survivor,Eye Of The Tiger,watching,And he's __ us all with the,136920,142450,5530,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
btPJPFnesV4,Survivor,Eye Of The Tiger,watching,And he's __ us all with the,182650,186670,4020,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ab9176Srb5Y,Eminem,Berzerk,scratch,Let's take it back to straight hip-hop and start it from __,5250,7890,2640,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ab9176Srb5Y,Eminem,Berzerk,Catch,"__ a cab, I wanna go down b-b-bow, bow",91670,94250,2580,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,watch,"**** that, never mind what I got, ***** don't __ that cause I",11750,15520,3770,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,watch,"Okay, made a million, off a dinner fork, __ me switch it up",46440,50150,3710,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,switch,"Okay, made a million, off a dinner fork, watch me __ it up",46440,50150,3710,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,watch,"**** that, never mind what I got, ***** don't __ that cause I",90240,94240,4000,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Z4bVgEVnvyI,Drake,All Me,watch,"**** that, never mind what I got, ***** don't __ that cause I",184830,188760,3930,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
2YcIgow6TDk,Jay-Z,Holy Grail,watch,"And I'd __ you eat it, I still don't know why",10860,18000,7140,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
2YcIgow6TDk,Jay-Z,Holy Grail,watch,"Just so you can __ me bleeding, I still don't know why (Don't know why)",248690,255520,6830,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
QjlFqgRbICY,Kendrick Lamar,A.D.H.D,kitchen,Never no pancakes in the __,39440,41260,1820,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NtxmnBQmfZs,Kendrick Lamar,Money Trees,switch,"A dollar might, just make that lane __ that's just how I feel (now)",122800,128200,5400,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NtxmnBQmfZs,Kendrick Lamar,Money Trees,switch,"A dollar might, just make that lane __ that's just how I feel (now)",229500,234810,5310,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
NtxmnBQmfZs,Kendrick Lamar,Money Trees,watch,"Broken promises, steal yo __ and tell you what time it is",305830,309130,3300,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eCxaXqwRhvw,J. Cole,Crooked Smile,stitches,"Man, they get them *****s __ now",184240,186320,2080,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
UePtoxDhJSw,Wiz Khalifa,Black And Yellow,watch,So many rocks up in the __ I cant tell what the time is,108700,111960,3260,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
FWOsbGP5Ox4,2Pac,California Love,watch,Now it's '95 and they clock me and __ me,71120,73420,2300,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
k2rqUlYN1m8,B.O.B,Headband,catch,"If she ever throw it, I'd __ it like a cornerback",31520,33930,2410,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
k2rqUlYN1m8,B.O.B,Headband,switching,"She speed it up or slow it down, like she's __ gears",151920,154340,2420,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
k2rqUlYN1m8,B.O.B,Headband,stretch,"You gotta __ it out, girl move that there",159120,161690,2570,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
kn6-c223DUU,B.O.B,Airplanes,switch,If I don't make that then I'll __ my flight and,66160,68600,2440,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_JZom_gVfuw,The Notorious B.I.G.,Juicy,match,With the hat to __,39080,40680,1600,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
phaJXp_zMYM,The Notorious B.I.G.,Big Poppa,watch,and __ a movie in the jacuzzi smoke L's while you do me,132750,135910,3160,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CB0gNT4-tIE,Rick Ross,No Games,kitchen,"Kilo in the __, ***** *****s merry Christmas",51330,54810,3480,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CB0gNT4-tIE,Rick Ross,No Games,watch,"Hundred grand on my __, you don't feel me then **** 'em",123550,126870,3320,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CB0gNT4-tIE,Rick Ross,No Games,kitchen,"Jumped straight off the porch, jumped right in the __",202380,205710,3330,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
5qm8PH4xAss,50 Cent,In Da Club,watch,If you __ how I move you'll mistake me for a player or pimp,52250,55470,3220,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
5qm8PH4xAss,50 Cent,In Da Club,switch,I'm a tell you what Banks told me cause go 'head __ the style up,132620,135840,3220,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
5qm8PH4xAss,50 Cent,In Da Club,Watch,__ the money pile up,137340,138560,1220,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RijB8wnJCN0,Cypress Hill,Insane In The Brain,watch,To __ dat belly get fatter,73690,75420,1730,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RijB8wnJCN0,Cypress Hill,Insane In The Brain,snatch,Come and try ta' __ my crops,145820,146170,350,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
1plPyJdXKIY,Warren G,Regulate,switching,Now I'm __ my mind back into freak mode,123090,125390,2300,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,catch,And get a fly girl and __ this beat,49480,51180,1700,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
AaXaig_43lU,Jeremih,Down On Me,watching,'Cause everybody got to __ it,28400,30270,1870,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
AaXaig_43lU,Jeremih,Down On Me,watch,Sit and __ it go go go,97960,99350,1390,1,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
GCdwKhTtNNw,The Neighbourhood,Sweater Weather,watch,And then I __ your face,80720,82640,1920,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eimgRedLkkU,Empire Of The Sun,Walking On A Dream,Catch,__ me I'm falling down,137560,145000,7440,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eimgRedLkkU,Empire Of The Sun,Walking On A Dream,Catch,__ me I'm falling down,145000,151240,6240,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
ghb6eDopW8I,Of Monsters And Men,Little Talks,watched,I __ you disappear,160920,163250,2330,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bIEOZCcaXzE,Mgmt,Kids,watch,We like to __ you laughing,70810,77130,6320,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
SDTZ7iX4vTQ,Foster The People,Pumped Up Kicks,kitchen,'Cause dinner's in the __ and it's packed in ice,104900,108590,3690,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
8UVNT4wvIGY,Gotye,Somebody That I Used To Know,catch,And I wouldn't __ you hung up on somebody that you used to know,177780,182500,4720,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dZX6Q-Bj_xg,Passion Pit,Take A Walk,watch,"I __ my little children, play some board game in the kitchen",137170,143180,6010,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dZX6Q-Bj_xg,Passion Pit,Take A Walk,kitchen,"I watch my little children, play some board game in the __",137170,143180,6010,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
DiEwJTOderQ,Passion Pit,Carried Away,watching,'Cause no one's really __,149800,152040,2240,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
c-jKfLXYQqw,Cults,High Road,watching,No one really knows who's __ over here,132240,140140,7900,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fV4DiAyExN0,Hoobastank,The Reason,catches,And be the one who __ all your tears,95100,101750,6650,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
