bESGLojNYSo,Lady Gaga,Poker Face,glue,I'm not lying I'm just stunning with my love __ gunnin',149370,152890,3520,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,True,"__ love, true love",50060,54110,4050,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,"True love, __ love",50060,54110,4050,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,It must be __ love,54110,57580,3470,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,True,"__ love, true love",60080,64190,4110,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,"True love, __ love",60080,64190,4110,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,It must be __ love,64190,67560,3370,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,True,"__ love, true love",120120,124290,4170,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,"True love, __ love",120120,124290,4170,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,It must be __ love,124290,127410,3120,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,True,"__ love, true love",130170,134120,3950,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,"True love, __ love",130170,134120,3950,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,It must be __ love,134120,137500,3380,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,True,"__ love, it must be true love",180230,184180,3950,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,"True love, it must be __ love",180230,184180,3950,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,It must be __ love,184180,187630,3450,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,True,"__ love, true love",190160,194130,3970,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,"True love, __ love",190160,194130,3970,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
zsmUOdmm02A,P!Nk,True Love,true,It must be __ love,194130,197560,3430,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
hLQl3WQQoQ0,Adele,Someone Like You,true,I heard that your dreams came __,28270,35230,6960,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
hLQl3WQQoQ0,Adele,Someone Like You,blue,I hate to turn up out of the __ uninvited but I,56650,61180,4530,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
hLQl3WQQoQ0,Adele,Someone Like You,blue,I hate to turn up out of the __ uninvited but I,138790,142550,3760,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,true,Make my wish come __ oh,33130,39710,6580,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,true,Make my wish come __,89410,92620,3210,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,true,Make my wish come __,191710,194530,2820,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
6cfCgLgiFDM,Christina Aguilera,Your Body,true,"It's __ what you heard, I am a freak, I'm disturbed",84510,88510,4000,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nmcdLOjGVzw,Mika,Popular Song,true,"And all that you have to do, is be __ to you",62010,64800,2790,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nmcdLOjGVzw,Mika,Popular Song,true,"And all that you have to do, is be __ to you",139310,142320,3010,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
nmcdLOjGVzw,Mika,Popular Song,true,"And all that you have to do, is be __ to you",187890,190830,2940,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
8EWINVP3B9A,Cher Lloyd,I Wish,construed,Clearly carried away but what I'm saying you __ that,144450,147340,2890,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
LPgvNlrBfb0,Cher Lloyd,Want U Back,true,If what I've been told is __,82390,84860,2470,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
8WEtxJ4-sh4,Tlc,Waterfalls,true,And like His promise is __ only my faith can undo,178000,181190,3190,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
8WEtxJ4-sh4,Tlc,Waterfalls,blue,Clear and __ and unconditional,184130,186000,1870,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
8WEtxJ4-sh4,Tlc,Waterfalls,true,Dreams are hopeless aspirations in hopes of coming __,205900,209240,3340,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
uSD4vsh1zDA,Black Eyed Peas,I Gotta Feeling,Tuesday,"Monday, __, Wednesday and Thursday",239730,243240,3510,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
WpYeekQkAdc,Black Eyed Peas,Where Is The Love?,values,"Yo', whatever happened to the __ of humanity",203810,206640,2830,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
EgT_us6AsDg,Selena Gomez And The Scene,Love You Like A Love Song,rescued,And it feels like I've been __,83130,87170,4040,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
7_weSk0BonM,Leona Lewis,Bleeding Love,true,"My heart melts into the ground, found something __",41410,46040,4630,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
B8FTyEdLjqA,Mario,Let Me Love You,true,Your __ beauty's description,92310,94810,2500,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
ePyRrb2-fzs,Timbaland,Apologize,blue,"Now it's turning __, and you say",92270,97590,5320,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
i3Jv9fNPjgk,Azealia Banks,212,blue,C***-a-licking in the water by the __ bayou,72750,74040,1290,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
y7ZEVA5dy-Y,Duffy,Mercy,true,But I gotta stay __,33280,36960,3680,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
NavVfpp-1L4,Pink Floyd,Wish You Were Here,Blue,__ sky's from pain.,105010,109340,4330,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Ek0SgwWmF9w,Muse,Madness,rescue,Come on and __ me,249780,255270,5490,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
hoskDZRLOCs,Elton John,Tiny Dancer,Blue,"__ jean baby, L.A. lady, seamstress for the band",12210,24780,12570,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
hoskDZRLOCs,Elton John,Tiny Dancer,Blue,"__ jean baby, L.A. lady, seamstress for the band",212300,224580,12280,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
mTa8U0Wa0q8,Elton John,Your Song,blue,If they're green or they're __,161710,166210,4500,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
co6WMzDOh1o,U2,Beautiful Day,true,Even if that doesn't ring __,88450,91700,3250,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
co6WMzDOh1o,U2,Beautiful Day,blue,See the world in green and __,134720,137990,3270,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
IwWUOmk7wO0,Lynyrd Skynyrd,Sweet Home Alabama,blue,Where the skies are so __,75990,81440,5450,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
IwWUOmk7wO0,Lynyrd Skynyrd,Sweet Home Alabama,blue,Where the skies are so __,125090,128920,3830,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
IwWUOmk7wO0,Lynyrd Skynyrd,Sweet Home Alabama,blue,They pick me up when I'm feeling __,203700,207120,3420,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
IwWUOmk7wO0,Lynyrd Skynyrd,Sweet Home Alabama,blue,Where the skies are so __,213840,218470,4630,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
4aeETEoNfOg,The Smashing Pumpkins,1979,blues,And I don't even care to shake these zipper __,68500,77720,9220,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
4aeETEoNfOg,The Smashing Pumpkins,1979,dues,"Morphine city slippin' __, down to see that",122220,129330,7110,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
4aeETEoNfOg,The Smashing Pumpkins,1979,blues,And I don't even care to shake these zipper __,212070,221740,9670,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
VcjzHMhBtf0,Journey,Don'T Stop Believin',blues,Some were born to sing the __,141400,145680,4280,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Qq4j1LtCdww,Alice Cooper,Poison,cruel,Your __ device,37850,41690,3840,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
i3MXiTeH_Pg,Whitesnake,Here I Go Again,rescue,Just another heart in need of __,104150,109200,5050,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
bkysjcs5vFU,Dio,Holy Diver,blue,Like the eyes of a cat in the black and __,144520,145040,520,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
qObzgUfCl28,Kaiser Chiefs,Ruby,Due,"__ to lack of interest, tomorrow is canceled",72490,77220,4730,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
5QD5n98R_nk,Mr. Big,To Be With You,blues,Waited on a line of greens and __,41420,47040,5620,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
5QD5n98R_nk,Mr. Big,To Be With You,blues,Waited on a line of greens and __,87280,92840,5560,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
5QD5n98R_nk,Mr. Big,To Be With You,blues,Waited on a line of greens and __,157600,162890,5290,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
5QD5n98R_nk,Mr. Big,To Be With You,blues,Waited on a line of greens and __,185020,185930,910,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
NlmezywdxPI,Eminem,Survival,overdue,"But my respect is __, I'm showing you the flow no one do",197840,201270,3430,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,true,"Came up, that's all me, stay __, that's all me",15520,19940,4420,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,true,"Came up, that's all me, stay __, that's all me",23460,27940,4480,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,true,"Came up, that's all me, stay __, that's all me",94240,98870,4630,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,true,"Came up, that's all me, stay __, that's all me",102490,106820,4330,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,true,"Came up, that's all me, stay __, that's all me",188760,193000,4240,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,true,"Came up, that's all me, stay __, that's all me",196810,200750,3940,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,due,I'm finna do what I didn't do and still waking up like the rent's __,208080,211780,3700,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Z4bVgEVnvyI,Drake,All Me,issues,"Like I got trust __, I'm sorry for the people I've pushed out",250530,253870,3340,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
RubBzkZzpUA,Drake,Started From The Bottom,argue,Living at my mama's house we'd __ every month,35260,38290,3030,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
RubBzkZzpUA,Drake,Started From The Bottom,due,We just want the credit where it's __,88690,90800,2110,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
2YcIgow6TDk,Jay-Z,Holy Grail,Blue,"Uh, __ told me to remind you *****s",79610,82920,3310,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
QjlFqgRbICY,Kendrick Lamar,A.D.H.D,blue,"is light __, she take it straight to the head",64400,66770,2370,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
yyr2gEouEMM,Kendrick Lamar,Poetic Justice,true,"Making sure my punctuation curve, every letter is __",194190,197560,3370,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
NtxmnBQmfZs,Kendrick Lamar,Money Trees,revenue,Go at a reverend for the __,76600,79000,2400,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
NtxmnBQmfZs,Kendrick Lamar,Money Trees,residue,"Pots with cocaine __, everyday I'm hustlin'",279120,282380,3260,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
k2rqUlYN1m8,B.O.B,Headband,True,"Her *** would knock your *** out, you better stick and move (__)",105180,107940,2760,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
phaJXp_zMYM,The Notorious B.I.G.,Big Poppa,true,"C-notes by the layers, __ ****in'' players",59400,62150,2750,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
phaJXp_zMYM,The Notorious B.I.G.,Big Poppa,true,"Throw your hands in the air, if you'se a __ player",70350,73590,3240,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
phaJXp_zMYM,The Notorious B.I.G.,Big Poppa,true,"What we came to do, ain't that right boo (__)",127510,130460,2950,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
phaJXp_zMYM,The Notorious B.I.G.,Big Poppa,true,"Throw your hands in the air, if youse a __ player",138590,141620,3030,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
phaJXp_zMYM,The Notorious B.I.G.,Big Poppa,true,"Throw your hands in the air, if youse a __ player",206800,209770,2970,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
eU4ZvfkmOck,The Game,Ali Bomaye,true,"Got two chains, they two-tone, two hundred racks, no lie (__)",90460,93710,3250,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
w5tWYmIOWGk,Image Dragons,On Top Of The World,dues,Paying my __ to the dirt,55840,57830,1990,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
w5tWYmIOWGk,Image Dragons,On Top Of The World,dues,Paying my __ to the dirt,101470,103720,2250,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
w5tWYmIOWGk,Image Dragons,On Top Of The World,dues,Paying my __ to the dirt,139320,141580,2260,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
w5tWYmIOWGk,Image Dragons,On Top Of The World,dues,Paying my __ to the dirt,177910,180170,2260,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
w5tWYmIOWGk,Image Dragons,On Top Of The World,dues,Paying my __ to the dirt,216180,218690,2510,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
CJinWua98NA,Capital Cities,Kangaroo Court,blues,I got my ballup shoes and every excuse to dance these __ away,36980,41330,4350,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
mOHWZmREuvA,Two Door Cinema Club,Changing Of The Seasons,true,I can tell you that's not __,39020,42570,3550,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
mOHWZmREuvA,Two Door Cinema Club,Changing Of The Seasons,true,Well I can tell you that's not __,99630,103240,3610,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
mOHWZmREuvA,Two Door Cinema Club,Changing Of The Seasons,true,I can tell you that's not __,173600,177130,3530,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
WbN0nX61rIs,Florence And The Machine,Shake It Out,issues,I like to keep my __ strong,29490,33920,4430,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
WbN0nX61rIs,Florence And The Machine,Shake It Out,issues,So I like to keep my __ strong,65070,69630,4560,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
WbN0nX61rIs,Florence And The Machine,Shake It Out,issues,'Cause I like to keep my __ strong,100670,105410,4740,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
OePvsCfKHJg,Phoenix,Trying To Be Cool,Gruesome,"__, I don't care where you're from",167920,172510,4590,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
rjFaenf1T-Y,Edward Sharpe And The Magnetic Zeros,Home,true,"That's __, laugh until we think we'll die",131090,133370,2280,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
UAsTlnjvetI,Young The Giant,Cough Syrup,blue,I'm coming up now coming up now out of the __ oh,85970,94650,8680,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
#NAME?,Counting Crows,Mr. Jones,blue,Paint myself in __ and red and black and gray,111660,115020,3360,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
fV4DiAyExN0,Hoobastank,The Reason,continue,But I __ learning,25800,31610,5810,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
450p7goxZqg,John Legend,All Of Me,blues,"My worst distraction, my rhythm and __",127230,131080,3850,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,true,Cause you might **** around and find your dreams come __ with me,72930,78430,5500,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,true,Cause you might **** around and find your dreams come __ with me,162190,167610,5420,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,true,Cause you might **** around and find your dreams come __ with me,240200,245770,5570,1,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
o3SqUUoJjW8,Lana Del Rey,West Coast,Blue,"You for the moment, Boy __, yeah you",41740,46470,4730,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
pB-5XG-DbAA,Sam Smith,Stay With Me,true,"Guess it's __, I'm not good at a one-night stand",39320,46500,7180,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
ebXbLfLACGM,Calvin Harris,Summer,blue,As long as skies are __,20430,25060,4630,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
ebXbLfLACGM,Calvin Harris,Summer,blue,As long as skies are __,95910,99850,3940,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Qtb11P1FWnc,Coldplay,Magic,true,"Call it magic, call it __",48200,57920,9720,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Qtb11P1FWnc,Coldplay,Magic,true,"No I don't, it's __",94140,95790,1650,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Qtb11P1FWnc,Coldplay,Magic,true,"No I don't, it's __",103980,106010,2030,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
Qtb11P1FWnc,Coldplay,Magic,true,"No I don't, it's __",165720,167870,2150,0,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,,,,,,
